Black Snake Moan	花痴
Love & Friendship	蘇珊夫人尋婚計
We are What we are	屍房宴
Factotum	醉快活
Suffragette	女權之聲:無懼年代
Balzac and the Little Chinese Seamstress	巴爾札克與小裁縫
The Night Listener	頻率
CJ7	長江七號
Hot Tub Time Machine	扭轉時光機
The Lucky One	幸運符
The Hitman’s Bodyguard	殺手保鑣
The Preppie Connection	玩酷壞痞子
The Iron Lady	鐵娘子
All I See Is You	盲女驚心
Annabelle	安娜貝爾
Chicken Little	四眼天雞
Before Midnight	愛在午夜希臘時
Iron Man 3	鋼鐵人3
Happy People: A Year in the Taiga	西伯利亞漂流
Sex and the City 2	慾望城市2
The Best Man Holiday	哈拉婚禮2
The Good Dinosaur	恐龍當家
Waiting for Forever	等妳到永遠
A Monster Calls	怪物來敲門
Baahubali: The Beginning	帝國戰神
The Conspirator	刺客共犯
The To Do List	大學生做了沒
Ma Mere	母親,愛情的限度
Broken Embraces	破碎的擁抱
Stand Up Guys	重振雄風
No One Lives	無人生還
The Man	硬漢教育
Valiant	鴿戰
Mr. Bean's Holiday	豆豆假期
The Chumscrubber	我行我素
That's My Boy	我老爸卡好
Avengers: Age of Ultron	復仇者聯盟2
Rampart	壁壘分局
Hail, Caesar!	凱薩萬歲
Bachelorette	單身女郎派對
42	傳奇42號
21 Jump Street 2	龍虎少年隊2
The Grand Budapest Hotel	布達佩斯大飯店
The White Ribbon	白色緞帶
My Blueberry Nights	我的藍莓夜
Mars Needs Moms	火星救母記
Fury	怒火特攻隊
Anna Karenina	安娜卡列妮娜
Taken 3	即刻救援3
Death Wish	猛龍怪客
Sound of Noise	噪反城市
American Reunion	美國派:高潮再起
Curse of the Golden Flower	滿城盡帶黃金甲
The Post	郵報:密戰
The Emoji Movie	表情符號電影
She’s funny that way	百老匯風流記
Broken Flowers	心碎排行榜
Eagle vs. Shark	鯊魚愛老鷹
Smurfs: The Lost Village	藍色小精靈3
Resurrecting the Champ	重振聲威
Tooth Fairy	牙仙大帝
Transformers 4	變形金剛4
Despicable Me	神偷奶爸
The Passionate Life of Edith Piaf	玫瑰人生
Blackway	反擊
Tales of Halloween	萬聖夜怪譚
Louder Than Bombs	記憶乍響
Summer Palace	頤和園
Piranha 3DD	3DD食人魚
Brick Mansions	玩命特區
The Angels' Share	天使威士忌
The Amazing Spider-Man 2	蜘蛛人
This Film is Not Yet Rated	本片尚未分級
The Darkest Hour	黑暗時刻
Knocked Up	好孕臨門
Hours	搏命關頭
Bratz	閃亮小天后
Undead	獵殺活死人
Hansel and Gretel: Witch Hunters	女巫獵人
Predestination	超時空攔截
The Mountain Between Us	絕處逢山
Bee Season	蜂王季
The Model	時尚帝國合約的開始
Bernie	胖尼殺很大
The Taking of Pelham 1 2 3	亡命快劫
The Wolf of Wall Street	華爾街之狼
True Legend	蘇乞兒
Poison Friends	解構新鮮人
Incendies	烈火焚身
Nocturnal Animals	夜行動物
The warloads	投名狀
A Lot Like Love	再見鍾情
The Hottest State	最炎熱的州
In a Better World	更好的世界
Mrs. Henderson Presents	裸體舞台
The Drop	錢藏凶機
My Brother Is An Only Child	我的左派哥哥
Fur	皮相獵人
The Wind Rises	風起
child 44	第44個孩子
Open Season	打獵季節
Jackass 2	蠢蛋搞怪秀2
The Details	居家風暴
Centurion	世紀戰魂
Let Me In	噬血童話
