Onion from the boot of a Benz	奔馳的大蔥
Hot Blood Band	熱血男人幫
Online	時光大戰
Running Man	奔跑吧兄弟
Boonie Bears: Mystical Winter	熊出沒之雪嶺熊風
Pleasant Goat and Big Big Wolf– Amazing Pleasant Goat	喜羊羊與灰太狼大電影7：羊年喜羊羊
Sorry, Baby	寶貝，對不起
Legend Of The Moles-The Magic Train Adventure	摩爾莊園大電影3：魔幻列車大冒險
Appassionato sonata	熱情奏鳴曲
One Night Stud	有種你愛我
Crazy New Year's Eve	一路驚喜
The Mystery of Death&#160;: Pisces Jade Pendant	死亡之謎之雙魚玉佩
An Inspector's Calls	神探駕到
The Hero of Color City	蠟筆總動員
Somewhere Only We Know	有一個地方只有我們知道
Be Together	我只要我們在一起
Wolf Totem	狼圖騰
Zhong Kui: Snow Girl and the Dark Crystal	鍾馗伏魔：雪妖魔靈
Dragon Blade	天將雄師
From Vegas to Macau 2	澳門風雲2
Triumph in the Skies	衝上雲霄
Emperor Holidays	爸爸的假期
Dad, Where Are We Going? 2	爸爸去哪兒2大電影
Legend of A Rabbit: The Martial of Fire	兔俠之青黎傳說
Lucky Star 2015	吉星高照2015
Right Mistake	將錯就錯
Flying With Daddy	全能囧爸
The Wonderful Wedding	大囍臨門
Beautiful Stupid Women	美麗笨女人
The Angel: The Prescription for Life	天使：生命處方
Beijing New York	北京紐約
Mother's Dream	母親的夢想
Who moved My Fiancee	海島之戀
Nowhere to run	封門詭影
Lost and Lonely	失孤
Little Big Master	五個小孩的校長
Bright Wedding	璀璨的婚禮
The Seventh Lie	第7謊言
Rookie	菜鳥
10000 Years Later	一萬年以後
Let's Get Married	咱們結婚吧
Wolf Warriors	戰狼
Two Thumbs Up	衝鋒車
Insanity	暴瘋語
Midnight Garage	三更車庫
Outcast	白幽靈傳奇之絕命逃亡
The Invincible Piglet	無敵小飛豬
Kungfu style	特功明星
The Queens	我是女王
Gun Transit	槍過境
No Money no Talk	十萬伙急
Scary Road Is Fun	陌路驚笑
Ever Since We Love	萬物生長
Extremely Urgent	迫在眉睫
The Left Ear	左耳
Red Amnesia	闖入者
Murmur of the Hearts	念念
Loves &amp; Movies	愛我就陪我看電影
Helios	赤道
You Are My Sunshine	何以笙簫默
Teenage Mao Zedong	少年毛澤東
Love of Gulu	姑魯之戀
Follow Me,My Queen	女神跟我走
War on a String	懸戰
Relationship Dilemma	分手不分手
The light	永遠的守望
Mr. Deng Goes to Washington	旋風九日
The Beloved	重生愛人
12 Citizens	十二公民
Love Without Distance	土豪520
Unforgettable Blast	迷與狂
Feed Me	哺乳期的女人
Alibaba and The Thief<	阿里巴巴：大盜奇兵
Wonder Mama	媽咪俠
Unmissable	不能錯過
Dawn Break Up	天亮·分手
The Grow 2	金箍棒傳奇2
Happy Little Submarine Magic Box of Time	潛艇總動員：時光寶盒
The Horizon of The Child	天邊的孩子
Rabbit Hero	超能兔戰隊
Monsters	異獸禁區
Lost in Wrestling	搏擊奇緣
Free Ride	順風車
Who Am I 2015	我是誰2015
Gone With the Time	再見我們的十年
SPL 2	殺破狼2
The Art of Mr.Chow	少年班
One Minute More	我的男友和狗
Admission by Guts	驚魂電影院
Rock Hero	搖滾英雄
Wo Shi Xiang Xia Ye	我是鄉下爺
The Temptation in Lincang	臨滄的誘惑
Come Back, Love	約定倒計時
My Geeky Nerdy Buddies	大宅們
We Will Make It Right	因為谷桂花
Twilight Online	恐怖在線
Hear Me	聽說
Where the Wind Settles	風中家族
Cannot Prove	無法證明
I Love You, Too	戀愛排班表
Hollywood Adventures	橫衝直撞好萊塢
The Adventures of Little Piglet Banna	小豬班納之夢想大帽險
The Three Pigs and The Lamp	三隻小豬與神燈
Silently Love	默守那份情
Monk Comes Down the Mountain	道士下山
Love Simply	簡單愛
Chang Chen Ghost Storie	張震講故事之鬼迷心竅
I Am Somebody	我是路人甲
Xi You Xin Zhuan2 ：hen Xin Hua Da Mao Xian	西遊新傳2：真心話大冒險
The Autobots	汽車人總動員
Tiny Times 4.0	小時代：靈魂盡頭
Fight it&#160;! Youth	奮鬥吧！青春
Forever Young	怒放之青春再見
Dear, don’t be Afraid	親，別怕
CUG: King of Heroes	西遊記之大聖歸來
GG Bond Movie:Ultimate Battle	豬豬俠之終極決戰
Nezha<	少女哪吒
Jian Bing Man	煎餅俠
Magic Barber	愛情魔發師
