George A. Romero Survival of the Dead	活死人之島
Breathe	我要為你呼吸
Small Talk	日常對話
My Mom's New Boyfriend	我媽的新男友
Solomon Kane	所羅門傳奇
The Double	盜貼人生
Attitude :The Movie	態度
Moana	海洋奇緣
Molly's Game	決勝女王
劇場版 黒子のバスケ LAST GAME	影子籃球員
Fish Tank	發現心節奏
The Tribe	過於寂靜的喧囂
KIDS	超感應
The Beguiled	魅惑
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert Tour	孟漢娜3D演唱會
Tomorrow when the war began	破曉開戰
Everything Must Go	拍賣人生
A Little Chaos	美人情園
Peanuts	史努比
Code Name: The Cleaner	霹靂鳥探
火垂るの墓	螢火蟲之墓
Invictus	打不倒的勇者
Mae Bia	蛇姬:極樂誘惑
Younger Brother	春之櫻
Fraulein	三十而麗
GATAO 2	角頭2:王者再起
Mr. Go	王牌巨猩
In Order of Disappearance	該死的順序
Love,Rosie	真愛繞圈圈
Cherry Blossoms	當櫻花盛開
Beaufort	前陷風暴
Dunkirk	敦克爾克大行動
僕の彼女はサイボーグ	我的機器人女友
Thanks for Sharing	謝謝分享,我的愛
Flatliners	別闖陰陽界
The Zookeeper's Wife	園長夫人:動物園的奇蹟
Ju-on: The Beginning of the End	咒怨:終結的開始
Detective Conan : Private Eye In The Distant Sea	名偵探柯南17
Beauty and the Beast 3D	美女與野獸3D
Xenia	我的希臘甜心
Memory	靈虐
The Woodsman and the Rain	啄木鳥與雨
エクスクロス　魔境伝説	活人祭
Villain	惡人
Chronicle of My Mother	我的母親手記
The Autopsy of Jane Doe	驗屍官
Cold Bloom	愛在櫻花紛飛時
Survivor	倒數行動
Grand Central	愛慾來襲時
Obsessed	人間中毒
踊る大捜査線　THE MOVIE３	大搜查線3
Robot Overlords	鋼鐵叛軍
Three Kingdoms: Resurrection of the Dragon	三國之見龍卸甲
Ocean Flame	一半海水,一半火焰
Sex duties unit	飛虎出征
Uncle Boonmee Who Can Recall His Past Lives	波米叔叔的前世今生
Attack the Block	異星大作戰
The Sense of an Ending	回憶的餘燼
War Witch	愛在戰火迷亂時
I Just Didn't Do It	嫌豬手事件簿
Ladda Land	陰地
Mary & Max	巧克力情緣
The Mimic	仿聲靈
The Only Living Boy in New York	紐約寂寞男孩
Searching For Sugar Man	尋找甜秘客
Starfish	我的海星爸爸
Fifty Shades Freed	格雷的五十道陰影3
Amour Legende	松鼠自殺事件
Heart of Stone	心之物語
Live by Night	夜行人生
What We Do In The Shadows	吸血鬼家庭屍篇
Patriots Day	愛國者行動
Take the A Train	幸福特快車
The Postman's White Nights	郵差的白色夜晚
Beyond the Arctic	征服北極
Breath	窒息情慾
Geostorm	氣象戰
Alien Abduction	詭影訪客
Heaven and Hell	監屍器
Fly Me to the Moon	真愛找冤家
Gerald's Game	傑羅德遊戲
Coming In	歡迎光臨愛情沙龍
The Sleep Curse	失眠
Love is sin	白天的星星
Vengeance	邪靈復仇
The Cove	血色海灣
The Descent: Part 2	深入絕地2
Norbit	糯米正傳
Parking	停車
The Bélier Family	貝禮一家
The Sky Crawlers	空中殺手
The Tag-Along 2	紅衣小女孩2
The Ghost Writer	獵殺幽靈寫手
House of Lies	謊言對決
Shooter	狙擊生死線
When Marnie Was There	回憶中的瑪妮
This is not what I expected	喜歡你
Monsieur Lazhar	再見了,拉札老師
Fathers and Daughters	幸福再敲門
Summer Rain	夏季雨
Tom of Finland	芬蘭湯姆
Doraemon the Movie: Nobita and the Island of Miracle	哆啦A夢
Spanish Affair	風流西班牙
Smallfoot	小腳怪
A Better Tomorrow	英雄本色
The Last Flight	北非謎情
Knocked Up	好孕臨門
少年メリケンサック	少年手指虎
Before I go to sleep	別相信任何人
6 Below	我要活下去
SP 野望篇	型男特警:野望篇
The Children of Huang Shi	黃石任務
Harry Potter and the Order of the Phoenix	哈利波特6
3AM	鬼三驚
X+Y	愛的方程式
The Big Gay Musical	超級同志音樂會
Darkest Hour	最黑暗的時刻
Detroit	底特律
P.S. I Love You	PS.我愛妳
Battle Up！	舞鬥
Adiantum Blue	鐵線蕨的憂鬱
Mother of Tears	木乃伊博物館
Life As We Know It	命中注定多個你
Outside The Law	光榮時刻
The Congress	虛擬天后
Hellboy 2	地獄怪客2
The Club	贖罪俱樂部
Ana, Mon Amour	我為愛
Guilty of Romance	戀之罪
Rail Truck	軌道
The Flying Swords of Dragon Gate	3D龍門飛甲
Honnouji Hotel	本能寺大飯店
The Treacherous	姦臣:色誘天下
Mark Felt: The Man Who Brought Down the White House	推倒白宮的男人
Make Me Shudder	這個高中沒有鬼
Mother's Day	母親劫
The Big Sick	愛情昏迷中
Outsourced	世界是平的
Oh Boy	噢！柏林男孩
The Storm	昨天再見
ゲゲゲの鬼太郎	鬼太郎
Brain on Fire	我發瘋的那段日子
American Assassin	美國刺客
Sons of Norway	搖擺天體營
God man dog	流浪神狗人
12 Strong	12猛漢
Step Up 4	舞力全開4
Visions	冥視
App	手機有鬼
Gulf Stream Under the Iceberg	性愛慾3世紀
ノルウェイの森	挪威的森林
The Page Turner	琴謎變奏曲
Still 2	凶地
ハナミズキ	花水木
The Water Horse: Legend of the Deep	尼斯湖水怪
All Because Of Love	痴情男子漢
Spring Breakers	放浪青春
Headshot	迎頭重擊
On the Road	浪蕩世代
Starlit High Noon	日正當中的星空
The Man from Nowhere	大叔
Their Finest	他們的美好時光
House At The End of the Street	地下弒
The Con Artists	技術者們
Coursier	終極快遞
A Story of Yonosuke	横道世之介
The Hole in 3D	3D無底洞
The Sorcerer and the White Snake	法海:白蛇傳說
Sex Doll	玩物戀人
The King	金權性內幕
Broken Embraces	破碎的擁抱
Notte prima degli esami - Oggi	2008新畢業生
The Assassination of Jesse James by the Coward Robert Ford	刺殺傑西
Trivial Matters	破事兒
Pale Moon	紙之月
We Own the Night	萬惡夜總會
Simple Simon	阿蒙正傳
Enter the Void	嗑到荼蘼
Only God Forgives	罪無可赦
The Princess of Montpensier	公主和她的情人
With Love... from the Age of Reason	給未來的我
The Devil Inside	心魔
Amour	愛•慕
Certified Copy	愛情對白
Waltz for Monica	給莫妮卡的華爾滋
Sisterhood	骨妹
Diana	黛安娜
