哈啦十誡	The Ten
酷狗寶貝	Wallace & Gromit - The Curse of the Were-Rabbit
聖母峰	Everest 
即刻毀滅	Burn After Reading
露西	Lucy
中央情報局	Central Intelligence 
無聲火	Bangkok Dangerous
黑金企業	There Will Be Blood
斷背山	Brokeback Mountain 
魔鬼孩子王2	Kindergarten Cop 2
機器人歷險記	Robots
珍愛人生	Precious: Based on the Novel "Push" by Sapphire
白宮末日	White House Down 
失落之城	The Lost City of Z
美國狙擊手	American Sniper
證明我愛你	Proof
2016:歐巴馬的美國	2016: Obama's America 
馬達加斯加	Madagascar
愛情超能量	Death of a Superhero 
拉貝日記	John Rabe 
鬼開門	The Disappointments Room 
寂寞星圖	Maps to the Stars 
殺戮行動	Killing Them Softly 
西遊記之孫悟空三打白骨精	The Monkey King 2
紳士密令	The Man From U.N.C.L.E.
花痴	Black Snake Moan
蘇珊夫人尋婚計	Love & Friendship
屍房宴	We are What we are
醉快活	Factotum
女權之聲:無懼年代	Suffragette
巴爾札克與小裁縫	Balzac and the Little Chinese Seamstress
頻率	The Night Listener
長江七號	CJ7
扭轉時光機	Hot Tub Time Machine
幸運符	The Lucky One
殺手保鑣	The Hitman’s Bodyguard
玩酷壞痞子	The Preppie Connection
鐵娘子	The Iron Lady
盲女驚心	All I See Is You
安娜貝爾	Annabelle
四眼天雞	Chicken Little
愛在午夜希臘時	Before Midnight
鋼鐵人3	Iron Man 3
西伯利亞漂流	Happy People: A Year in the Taiga
慾望城市2	Sex and the City 2
哈拉婚禮2	The Best Man Holiday 
恐龍當家	The Good Dinosaur
等妳到永遠	Waiting for Forever
怪物來敲門	A Monster Calls 
帝國戰神	Baahubali: The Beginning
刺客共犯	The Conspirator
大學生做了沒	The To Do List 
母親,愛情的限度	Ma Mere
破碎的擁抱	Broken Embraces
重振雄風	Stand Up Guys
無人生還	No One Lives 
硬漢教育	The Man
鴿戰	Valiant
豆豆假期	Mr. Bean's Holiday
我行我素	The Chumscrubber 
我老爸卡好	That's My Boy
復仇者聯盟2	Avengers: Age of Ultron 
壁壘分局	Rampart
凱薩萬歲	Hail, Caesar!
單身女郎派對	Bachelorette
傳奇42號	42
龍虎少年隊2	21 Jump Street 2
布達佩斯大飯店	The Grand Budapest Hotel 
白色緞帶	The White Ribbon 
我的藍莓夜	My Blueberry Nights
火星救母記	Mars Needs Moms
怒火特攻隊	Fury
安娜卡列妮娜	Anna Karenina
即刻救援3	Taken 3 
猛龍怪客	Death Wish
噪反城市	Sound of Noise
美國派:高潮再起	American Reunion
滿城盡帶黃金甲	Curse of the Golden Flower
郵報:密戰	The Post 
表情符號電影	The Emoji Movie 
百老匯風流記	She’s funny that way
心碎排行榜	Broken Flowers
鯊魚愛老鷹	Eagle vs. Shark
藍色小精靈3	Smurfs: The Lost Village 
重振聲威	Resurrecting the Champ
牙仙大帝	Tooth Fairy
變形金剛4	Transformers 4
神偷奶爸	Despicable Me
玫瑰人生	The Passionate Life of Edith Piaf
反擊	Blackway
萬聖夜怪譚	Tales of Halloween 
記憶乍響	Louder Than Bombs
頤和園	Summer Palace 
3DD食人魚	Piranha 3DD 
玩命特區	Brick Mansions 
天使威士忌	The Angels' Share 
蜘蛛人	The Amazing Spider-Man 2
本片尚未分級	This Film is Not Yet Rated
黑暗時刻	The Darkest Hour
好孕臨門	Knocked Up
搏命關頭	Hours
閃亮小天后	Bratz
獵殺活死人	Undead
女巫獵人	Hansel and Gretel: Witch Hunters
超時空攔截	Predestination
絕處逢山	The Mountain Between Us
蜂王季	Bee Season
時尚帝國合約的開始	The Model
胖尼殺很大	Bernie
亡命快劫	The Taking of Pelham 1 2 3
華爾街之狼	The Wolf of Wall Street
蘇乞兒	True Legend 
